# build.sh 가 읽는다. cardmap.py 가 만들고 사람이 손본다 (T34).
# 카드id	섹션(0based)	판정	점수	차점	앞면	섹션제목
# 판정 OK = 자동 확정 · CHECK = 눈으로 볼 것 · NONE = 잇지 않는다
ch01-card-Putnam	24	OK	28.2	6.0	**Putnam**	(25) 수학적 산정 기법
ch01-card-FP를제안한사람	24	OK	11.5	1.1	**FP 를 제안한 사람**	(25) 수학적 산정 기법
ch01-card-자동화추정도구2가지와근거모형	24	OK	20.2	7.3	**자동화 추정 도구 2가지와 근거 모형**	(25) 수학적 산정 기법
ch01-card-일정계획도구3가지	25	OK	20.5	3.1	**일정 계획 도구 3가지**	(26) 프로젝트 일정 계획
ch01-card-PERT예측치공식	25	OK	16.5	7.2	**PERT 예측치 공식**	(26) 프로젝트 일정 계획
ch01-card-ISOIEC12207프로세스3분류	27	OK	18.5	10.2	**ISO/IEC 12207 프로세스 3분류**	(28) 소프트웨어 개발 표준
ch01-card-CMMI5단계	27	OK	24.5	1.5	**CMMI 5단계**	(28) 소프트웨어 개발 표준
ch01-card-SPICE6단계	27	OK	24.9	1.5	**SPICE 6단계**	(28) 소프트웨어 개발 표준
ch01-card-SPICE5범주	27	OK	17.6	2.2	**SPICE 5범주**	(28) 소프트웨어 개발 표준
ch01-card-테일러링절차5단계	28	OK	26.0	5.9	**테일러링 절차 5단계**	(29) 소프트웨어 개발 방법론 테일러링
ch01-card-테일러링기준내부4개외부2개	28	OK	24.3	4.1	**테일러링 기준 — 내부 4개 · 외부 2개**	(29) 소프트웨어 개발 방법론 테일러링
ch01-card-프레임워크특성4가지	29	OK	22.0	3.8	**프레임워크 특성 4가지**	(30) 소프트웨어 개발 프레임워크
ch02-card-데이터전환ETL3단계	29	OK	16.0	7.4	**데이터 전환 ETL 3단계**	(30) 데이터 전환
ch02-card-데이터전환오류상태변화	31	SEEN	13.8	9.1	**데이터 전환 오류 상태 변화**	(32) 오류 데이터 측정 및 정제
ch02-card-DB정의4가지데이터	3	SEEN	8.7	7.0	**DB 정의 — 4가지 데이터**	(4) 데이터베이스 개요
ch02-card-DB특징4가지	3	OK	12.9	3.5	**DB 특징 4가지**	(4) 데이터베이스 개요
ch02-card-DBMS필수기능3가지	3	OK	12.7	5.9	**DBMS 필수 기능 3가지**	(4) 데이터베이스 개요
ch02-card-스키마3층	3	OK	9.9	3.7	**스키마 3층**	(4) 데이터베이스 개요
ch02-card-DB설계5단계	4	SEEN	7.9	6.4	**DB 설계 5단계**	(5) 데이터베이스 설계
ch02-card-개념적설계산출물	4	OK	11.0	5.8	**개념적 설계 산출물**	(5) 데이터베이스 설계
ch02-card-데이터모델구성3요소	6	FIXED	10.1	-	**데이터 모델 구성 3요소**	(7) 데이터 모델의 구성 요소
ch02-card-논리적데이터모델3가지	5	OK	13.5	8.2	**논리적 데이터 모델 3가지**	(6) 데이터 모델의 개념
ch02-card-ER다이어그램기호4가지	8	OK	13.9	4.0	**E-R 다이어그램 기호 4가지**	(9) E-R(개체-관계) 모델
ch02-card-릴레이션차수와카디널리티	9	SEEN	8.7	7.5	**릴레이션 차수와 카디널리티**	(10) 관계형 데이터베이스의 구조
ch02-card-릴레이션특징4가지	9	OK	11.1	3.4	**릴레이션 특징 4가지**	(10) 관계형 데이터베이스의 구조
ch02-card-키5종류	10	OK	8.4	4.0	**키 5종류**	(11) 키(Key)
ch02-card-무결성제약4가지	11	OK	15.8	4.8	**무결성 제약 4가지**	(12) 무결성(Integrity)
ch02-card-순수관계연산자4가지	12	OK	18.1	3.4	**순수 관계 연산자 4가지**	(13) 관계대수와 관계해석
ch02-card-관계대수vs해석	12	OK	33.1	1.7	**관계대수 vs 해석**	(13) 관계대수와 관계해석
ch02-card-이상Anomaly3가지	13	OK	14.3	5.3	**이상(Anomaly) 3가지**	(14) 이상과 함수적 종속
ch02-card-함수종속3가지	13	OK	14.5	5.6	**함수 종속 3가지**	(14) 이상과 함수적 종속
ch02-card-정규화단계6가지	14	SEEN	20.1	14.6	**정규화 단계 6가지**	(15) 정규화(Normalization)
ch02-card-반정규화방법3가지	15	SEEN	19.8	12.9	**반정규화 방법 3가지**	(16) 반정규화(Denormalization)
ch02-card-시스템카탈로그	16	OK	26.7	3.4	**시스템 카탈로그**	(17) 시스템 카탈로그
ch02-card-트랜잭션ACID	18	OK	24.4	2.9	**트랜잭션 ACID**	(19) 트랜잭션 분석과 CRUD 분석
ch02-card-CRUD우선순위	18	OK	18.1	7.6	**CRUD 우선순위**	(19) 트랜잭션 분석과 CRUD 분석
ch02-card-인덱스vs클러스터	20	SEEN	21.8	16.4	**인덱스 vs 클러스터**	(21) 뷰와 클러스터
ch02-card-뷰	20	FIXED	0.0	-	**뷰**	(21) 뷰와 클러스터
ch02-card-파티션종류5가지	21	OK	23.9	1.9	**파티션 종류 5가지**	(22) 파티션(Partition)
ch02-card-분산DB투명성4가지	22	OK	18.8	2.4	**분산 DB 투명성 4가지**	(23) 분산 데이터베이스 설계
ch02-card-DB이중화분류	23	OK	27.1	2.7	**DB 이중화 분류**	(24) 데이터베이스 이중화와 서버 클러스터링
ch02-card-접근통제3가지기준	24	OK	14.7	3.0	**접근통제 3가지 기준**	(25) 데이터베이스 보안
ch02-card-회복기법4가지	25	OK	16.1	2.8	**회복 기법 4가지**	(26) 데이터베이스 백업
ch02-card-REDOUNDO	25	OK	18.6	6.9	**REDO / UNDO**	(26) 데이터베이스 백업
ch02-card-스토리지3가지	26	OK	27.2	4.5	**스토리지 3가지**	(27) 스토리지(Storage)
ch02-card-논리물리변환	27	OK	15.7	5.7	**논리→물리 변환**	(28) 논리 데이터 모델의 물리 데이터 모델 변환
ch02-card-자료구조분류	0	OK	19.0	4.4	**자료 구조 분류**	(1) 자료 구조
ch02-card-스택큐	0	OK	8.6	0.0	**스택 / 큐**	(1) 자료 구조
ch02-card-트리운행3가지	1	OK	13.3	5.3	**트리 운행 3가지**	(2) 트리와 이진 트리
ch02-card-정렬Onlogn	2	SEEN	15.4	12.0	**정렬 O(n log n)**	(3) 정렬(Sort)
ch02-card-해싱용어5가지	2	OK	12.0	4.3	**해싱 용어 5가지**	(3) 정렬(Sort)
ch03-card-통합구현구성요소5가지	0	OK	10.9	2.9	**통합 구현 구성 요소 5가지**	(1) 통합 구현의 개요
ch03-card-연계데이터식별절차5단계	2	OK	16.0	5.8	**연계 데이터 식별 절차 5단계**	(3) 연계 데이터 식별 및 표준화
ch03-card-데이터표현방법3가지	2	OK	9.3	4.1	**데이터 표현 방법 3가지**	(3) 연계 데이터 식별 및 표준화
ch03-card-직접연계방식5가지	3	OK	8.4	3.6	**직접 연계 방식 5가지**	(4) 연계 메커니즘
ch03-card-간접연계방식4가지	3	OK	12.7	3.6	**간접 연계 방식 4가지**	(4) 연계 메커니즘
ch03-card-EAI구축유형4가지	3	OK	16.7	2.6	**EAI 구축 유형 4가지**	(4) 연계 메커니즘
ch03-card-EAIvsESB	3	OK	23.5	1.0	**EAI vs ESB**	(4) 연계 메커니즘
ch03-card-연계오류유형3가지	4	OK	11.0	6.0	**연계 오류 유형 3가지**	(5) 연계 장애 및 오류 처리
ch03-card-전송구간보안3가지	5	OK	9.6	2.6	**전송 구간 보안 3가지**	(6) 연계 데이터 보안
ch03-card-암복호화절차5단계	5	OK	6.5	1.9	**암·복호화 절차 5단계**	(6) 연계 데이터 보안
ch03-card-XML	6	OK	21.0	6.8	**XML**	(7) XML
ch03-card-웹서비스3요소	7	OK	13.2	4.5	**웹 서비스 3요소**	(8) SOAP과 WSDL
ch03-card-SOAP메시지구조3부분	7	OK	11.2	2.3	**SOAP 메시지 구조 3부분**	(8) SOAP과 WSDL
ch03-card-REST	7	OK	20.1	1.9	**REST**	(8) SOAP과 WSDL
ch03-card-연계테스트절차4단계	8	OK	16.3	3.3	**연계 테스트 절차 4단계**	(9) 연계 테스트
ch04-card-개발언어선정기준5가지	0	OK	15.5	8.1	**개발 언어 선정 기준 5가지**	(1) 개발 환경 구축
ch04-card-아키텍처설계원리4가지	1	SEEN	15.9	10.8	**아키텍처 설계 원리 4가지**	(2) 소프트웨어 아키텍처
ch04-card-추상화유형3가지	1	SEEN	4.4	3.4	**추상화 유형 3가지**	(2) 소프트웨어 아키텍처
ch04-card-협약에의한설계3조건	1	OK	6.7	2.2	**협약에 의한 설계 3조건**	(2) 소프트웨어 아키텍처
ch04-card-아키텍처패턴10가지	2	OK	23.1	10.4	**아키텍처 패턴 10가지**	(3) 아키텍처 패턴
ch04-card-객체지향구성요소3가지	3	SEEN	12.7	9.4	**객체 지향 구성 요소 3가지**	(4) 객체 지향(Object-Oriented)
ch04-card-객체지향5원칙	3	SEEN	13.6	10.1	**객체 지향 5원칙**	(4) 객체 지향(Object-Oriented)
ch04-card-다형성종류2가지	3	OK	8.2	1.9	**다형성 종류 2가지**	(4) 객체 지향(Object-Oriented)
ch04-card-객체지향설계원칙SOLID5가지	3	OK	22.8	11.7	**객체 지향 설계 원칙 SOLID 5가지**	(4) 객체 지향(Object-Oriented)
ch04-card-객체지향분석방법론5가지	4	OK	24.8	6.9	**객체 지향 분석 방법론 5가지**	(5) 객체 지향 분석 및 설계
ch04-card-럼바우분석절차	4	OK	19.7	1.2	**럼바우 분석 절차**	(5) 객체 지향 분석 및 설계
ch04-card-결합도약강	5	OK	16.5	3.6	**결합도(약→강)**	(6) 모듈과 결합도·응집도
ch04-card-응집도강약	5	OK	23.7	1.1	**응집도(강→약)**	(6) 모듈과 결합도·응집도
ch04-card-좋은설계	5	OK	20.3	3.9	**좋은 설계**	(6) 모듈과 결합도·응집도
ch04-card-IPC프로세스간통신기법5가지	6	OK	12.0	6.4	**IPC(프로세스 간 통신) 기법 5가지**	(7) 단위 모듈과 공통 모듈
ch04-card-공통모듈명세원칙5가지	6	SEEN	12.5	7.9	**공통 모듈 명세 원칙 5가지**	(7) 단위 모듈과 공통 모듈
ch04-card-코드종류7가지	7	FIXED	8.6	-	**코드 종류 7가지**	(8) 코드(Code)
ch04-card-GoF분류	8	OK	9.2	1.7	**GoF 분류**	(9) 디자인 패턴
ch04-card-생성패턴5	8	OK	17.3	7.7	**생성 패턴 5**	(9) 디자인 패턴
ch04-card-구조패턴7	8	OK	19.4	8.7	**구조 패턴 7**	(9) 디자인 패턴
ch04-card-행위패턴11	8	OK	22.4	9.1	**행위 패턴 11**	(9) 디자인 패턴
ch04-card-빌드도구4가지	9	OK	12.9	4.7	**빌드 도구 4가지**	(10) 개발 지원 도구
ch04-card-서버프레임워크5가지	10	OK	14.3	6.9	**서버 프레임워크 5가지**	(11) 서버 개발
ch04-card-서버개발보안취약점4가지	11	OK	16.5	4.2	**서버 개발 보안 취약점 4가지**	(12) 보안 및 API
ch04-card-배치프로그램필수요소5가지	12	OK	18.0	5.9	**배치 프로그램 필수 요소 5가지**	(13) 배치 프로그램
ch04-card-배치스케줄러3가지	12	OK	20.6	2.7	**배치 스케줄러 3가지**	(13) 배치 프로그램
ch04-card-Cron표현식순서	12	OK	17.3	1.0	**Cron 표현식 순서**	(13) 배치 프로그램
ch05-card-요구사항검증방법3가지	1	OK	19.9	12.4	**요구사항 검증 방법 3가지**	(2) 인터페이스 요구사항 검증
ch05-card-베이스라인	1	OK	8.8	1.1	**베이스라인**	(2) 인터페이스 요구사항 검증
ch05-card-인터페이스표준항목2가지	3	FIXED	2.9	-	**인터페이스 표준 항목 2가지**	(4) 송·수신 데이터 식별
ch05-card-인터페이스통신유형3가지	4	OK	9.2	5.3	**인터페이스 통신 유형 3가지**	(5) 인터페이스 방법 명세화
ch05-card-인터페이스처리유형3가지	4	SEEN	8.9	6.2	**인터페이스 처리 유형 3가지**	(5) 인터페이스 방법 명세화
ch05-card-미들웨어종류6가지	5	OK	24.7	2.6	**미들웨어 종류 6가지**	(6) 미들웨어 솔루션
ch05-card-인터페이스구현방법2가지	9	SEEN	13.5	9.2	**인터페이스 구현 방법 2가지**	(10) 인터페이스 구현
ch05-card-JSON	9	OK	29.7	0.9	**JSON**	(10) 인터페이스 구현
ch05-card-인터페이스계층별보안	11	OK	19.6	4.7	**인터페이스 계층별 보안**	(12) 인터페이스 보안
ch05-card-DB암호화기법4가지	11	OK	16.4	4.4	**DB 암호화 기법 4가지**	(12) 인터페이스 보안
ch05-card-인터페이스구현검증도구6가지	12	OK	15.2	6.5	**인터페이스 구현 검증 도구 6가지**	(13) 인터페이스 구현 검증
ch05-card-인터페이스감시도구APM	12	OK	14.4	3.9	**인터페이스 감시 도구 — APM**	(13) 인터페이스 구현 검증
ch06-card-UI구분5가지	0	OK	10.1	3.3	**UI 구분 5가지**	(1) 사용자 인터페이스(UI)
ch06-card-UI기본원칙4가지	0	OK	10.1	3.8	**UI 기본 원칙 4가지**	(1) 사용자 인터페이스(UI)
ch06-card-웹3요소	1	OK	16.3	1.2	**웹 3요소**	(2) UI 표준 및 지침
ch06-card-와이어프레임	2	OK	5.1	0.5	**와이어프레임**	(3) UI 설계 도구
ch06-card-목업	2	OK	6.7	1.0	**목업**	(3) UI 설계 도구
ch06-card-프로토타입	2	SEEN	4.2	3.2	**프로토타입**	(3) UI 설계 도구
ch06-card-스토리보드	2	OK	5.8	0.6	**스토리보드**	(3) UI 설계 도구
ch06-card-정황시나리오	3	SEEN	5.6	8.2	**정황 시나리오**	(4) UI 요구사항 확인
ch06-card-ISOIEC9126품질특성6가지	4	OK	26.6	0.9	**ISO/IEC 9126 품질 특성 6가지**	(5) 품질 요구사항
ch06-card-ISOIEC9126기능성하위특성5가지	4	OK	15.9	0.9	**ISO/IEC 9126 기능성 하위 특성 5가지**	(5) 품질 요구사항
ch06-card-ISOIEC9126신뢰성하위특성3가지	4	OK	15.2	0.7	**ISO/IEC 9126 신뢰성 하위 특성 3가지**	(5) 품질 요구사항
ch06-card-ISOIEC12119	4	OK	23.8	2.6	**ISO/IEC 12119**	(5) 품질 요구사항
ch06-card-ISOIEC14598	4	OK	23.7	0.9	**ISO/IEC 14598**	(5) 품질 요구사항
ch06-card-ISOIEC25000	4	OK	18.7	0.0	**ISO/IEC 25000**	(5) 품질 요구사항
ch06-card-UI설계서구성순서	5	OK	13.3	4.8	**UI 설계서 구성 순서**	(6) UI 설계
ch06-card-UI시나리오작성원칙6가지	5	OK	10.7	4.9	**UI 시나리오 작성 원칙 6가지**	(6) UI 설계
ch06-card-HCI	6	OK	31.9	0.8	**HCI**	(7) HCI · UX · 감성공학
ch06-card-UX특징3가지	6	OK	9.3	2.6	**UX 특징 3가지**	(7) HCI · UX · 감성공학
ch06-card-UIvsUX	6	OK	11.9	3.7	**UI vs UX**	(7) HCI · UX · 감성공학
ch06-card-감성공학접근방법3가지	6	OK	15.0	1.2	**감성공학 접근 방법 3가지**	(7) HCI · UX · 감성공학
ch07-card-검증vs확인	0	SEEN	7.3	4.9	**검증 vs 확인**	(1) 애플리케이션 테스트의 개요
ch07-card-테스트기본원리5가지	1	OK	21.0	5.1	**테스트 기본 원리 5가지**	(2) 애플리케이션 테스트의 기본 원리
ch07-card-테스트분류실행여부별	2	SEEN	10.5	7.4	**테스트 분류 — 실행 여부별**	(3) 애플리케이션 테스트의 분류
ch07-card-테스트분류기반별3가지	2	OK	9.8	4.6	**테스트 분류 — 기반별 3가지**	(3) 애플리케이션 테스트의 분류
ch07-card-테스트분류목적별7가지	2	OK	9.1	4.3	**테스트 분류 — 목적별 7가지**	(3) 애플리케이션 테스트의 분류
ch07-card-화이트박스테스트종류2가지	3	SEEN	12.6	9.8	**화이트박스 테스트 종류 2가지**	(4) 화이트박스 테스트
ch07-card-화이트박스검증기준4단계	3	OK	12.4	5.5	**화이트박스 검증 기준 4단계**	(4) 화이트박스 테스트
ch07-card-분기vs조건	3	SEEN	5.2	4.6	**분기 vs 조건**	(4) 화이트박스 테스트
ch07-card-블랙박스테스트종류5가지	4	OK	14.6	6.6	**블랙박스 테스트 종류 5가지**	(5) 블랙박스 테스트
ch07-card-화이트vs블랙	4	SEEN	16.8	13.0	**화이트 vs 블랙**	(5) 블랙박스 테스트
ch07-card-V모델대응	5	OK	14.5	2.9	**V-모델 대응**	(6) 개발 단계에 따른 애플리케이션 테스트
ch07-card-알파vs베타	5	OK	7.2	3.9	**알파 vs 베타**	(6) 개발 단계에 따른 애플리케이션 테스트
ch07-card-하향식통합	6	OK	16.6	2.4	**하향식 통합**	(7) 통합 테스트의 종류
ch07-card-상향식통합	6	OK	17.1	2.4	**상향식 통합**	(7) 통합 테스트의 종류
ch07-card-혼합식통합테스트	6	OK	19.1	5.1	**혼합식 통합 테스트**	(7) 통합 테스트의 종류
ch07-card-테스트오라클4가지	8	OK	18.4	3.8	**테스트 오라클 4가지**	(9) 테스트 케이스 · 시나리오 · 오라클
ch07-card-오류결함실패	9	OK	8.2	3.0	**오류/결함/실패**	(10) 결함 관리
ch07-card-결함상태변화	9	OK	11.8	2.0	**결함 상태 변화**	(10) 결함 관리
ch07-card-결함측정지표3가지	9	OK	10.6	5.1	**결함 측정 지표 3가지**	(10) 결함 관리
ch07-card-테스트자동화도구유형5가지	10	OK	20.4	6.1	**테스트 자동화 도구 유형 5가지**	(11) 테스트 자동화 도구
ch07-card-테스트하네스구성6가지	10	OK	15.0	5.1	**테스트 하네스 구성 6가지**	(11) 테스트 자동화 도구
ch07-card-성능측정지표4가지	11	OK	11.1	5.3	**성능 측정 지표 4가지**	(12) 애플리케이션 성능 분석
ch07-card-성능테스트도구3가지	11	SEEN	8.2	7.3	**성능 테스트 도구 3가지**	(12) 애플리케이션 성능 분석
ch07-card-순환복잡도공식	12	OK	14.4	2.1	**순환 복잡도 공식**	(13) 복잡도
ch07-card-클린코드원칙5가지	13	OK	15.0	1.3	**클린 코드 원칙 5가지**	(14) 애플리케이션 성능 개선
ch07-card-정적분석도구6가지	13	OK	8.9	5.4	**정적 분석 도구 6가지**	(14) 애플리케이션 성능 개선
ch07-card-동적분석도구2가지	13	SEEN	6.4	4.8	**동적 분석 도구 2가지**	(14) 애플리케이션 성능 개선
ch08-card-DDL명령어3가지	2	SEEN	13.7	10.8	**DDL 명령어 3가지**	(3) DDL — ALTER, DROP
ch08-card-DML명령어4가지	4	OK	10.8	5.9	**DML 명령어 4가지**	(5) DML — INSERT, DELETE, UPDATE
ch08-card-DCL명령어4가지	3	OK	14.7	6.9	**DCL 명령어 4가지**	(4) DCL
ch08-card-참조무결성옵션4가지	1	SEEN	5.7	4.9	**참조 무결성 옵션 4가지**	(2) DDL — CREATE
ch08-card-DROP옵션	2	OK	15.2	3.8	**DROP 옵션**	(3) DDL — ALTER, DROP
ch08-card-DROPTRUNCATEDELETE	2	SEEN	19.1	12.9	**DROP/TRUNCATE/DELETE**	(3) DDL — ALTER, DROP
ch08-card-사용자등급3가지	3	SEEN	4.0	6.0	**사용자 등급 3가지**	(4) DCL
ch08-card-GRANT옵션	3	OK	14.1	5.1	**GRANT 옵션**	(4) DCL
ch08-card-TCL명령어3가지	3	OK	11.7	3.3	**TCL 명령어 3가지**	(4) DCL
ch08-card-SELECT절순서	5	OK	12.9	7.0	**SELECT 절 순서**	(6) DML — SELECT 기본
ch08-card-SELECT실행순서	5	OK	11.3	5.7	**SELECT 실행 순서**	(6) DML — SELECT 기본
ch08-card-SELECT중복처리PREDICATE2가지	5	OK	10.4	3.9	**SELECT 중복 처리 PREDICATE 2가지**	(6) DML — SELECT 기본
ch08-card-WHERE기타연산자4가지	5	SEEN	8.1	11.0	**WHERE 기타 연산자 4가지**	(6) DML — SELECT 기본
ch08-card-그룹함수7가지	6	OK	14.4	4.6	**그룹 함수 7가지**	(7) DML — 그룹 함수와 그룹 지정 검색
ch08-card-WHEREvsHAVING	6	SEEN	8.5	5.8	**WHERE vs HAVING**	(7) DML — 그룹 함수와 그룹 지정 검색
ch08-card-집합연산자4가지	7	OK	17.3	7.2	**집합 연산자 4가지**	(8) DML — 하위 질의와 집합 연산자
ch08-card-JOIN분류4가지	8	OK	29.2	6.5	**JOIN 분류 4가지**	(9) DML — JOIN
ch08-card-자연조인	8	OK	15.0	5.9	**자연 조인**	(9) DML — JOIN
ch08-card-순위함수3가지	9	OK	10.0	3.9	**순위 함수 3가지**	(10) WINDOW 함수
ch08-card-프로시저구성6부분	10	OK	15.3	7.9	**프로시저 구성 6부분**	(11) 절차형 SQL — 프로시저
ch08-card-함수구성	10	SEEN	8.2	10.0	**함수 구성**	(11) 절차형 SQL — 프로시저
ch08-card-트리거	11	OK	19.7	5.9	**트리거**	(12) 절차형 SQL — 트리거
ch08-card-프로시저vs함수	12	SEEN	9.0	12.8	**프로시저 vs 함수**	(13) 절차형 SQL — 사용자 정의 함수
ch08-card-커서순서	13	OK	12.1	3.1	**커서 순서**	(14) 제어문과 커서
ch08-card-커서종류2가지	13	OK	11.9	7.0	**커서 종류 2가지**	(14) 제어문과 커서
ch08-card-DBMS접속기술3가지	14	OK	23.8	7.6	**DBMS 접속 기술 3가지**	(15) DBMS 접속과 동적 SQL
ch08-card-동적SQL	14	OK	23.1	12.4	**동적 SQL**	(15) DBMS 접속과 동적 SQL
ch08-card-ORM	15	OK	36.1	5.9	**ORM**	(16) SQL 테스트와 ORM
ch08-card-옵티마이저2가지	16	OK	13.6	0.6	**옵티마이저 2가지**	(17) 쿼리 성능 최적화
ch08-card-실행계획확인	16	OK	12.4	2.3	**실행 계획 확인**	(17) 쿼리 성능 최적화
ch08-card-조인기법3가지	16	OK	13.9	3.9	**조인 기법 3가지**	(17) 쿼리 성능 최적화
ch09-card-보안3대요소	0	OK	12.6	5.3	**보안 3대 요소**	(1) Secure SDLC
ch09-card-SecureSDLC방법론3가지	0	OK	27.2	2.1	**Secure SDLC 방법론 3가지**	(1) Secure SDLC
ch09-card-보안점검항목7	0	OK	14.8	6.8	**보안 점검 항목 7**	(1) Secure SDLC
ch09-card-입력검증보안약점6가지	1	OK	13.8	4.6	**입력 검증 보안 약점 6가지**	(2) 입력 데이터 검증 및 표현
ch09-card-SQL삽입대응	1	OK	6.9	3.7	**SQL 삽입 대응**	(2) 입력 데이터 검증 및 표현
ch09-card-XSS대응	1	OK	7.8	3.1	**XSS 대응**	(2) 입력 데이터 검증 및 표현
ch09-card-시간상태보안약점2가지	3	OK	13.5	3.3	**시간·상태 보안 약점 2가지**	(4) 시간 및 상태
ch09-card-코드오류보안약점3가지	5	OK	11.7	4.3	**코드 오류 보안 약점 3가지**	(6) 코드 오류
ch09-card-대칭키블록암호5가지	8	OK	16.4	3.3	**대칭키 블록 암호 5가지**	(9) 암호화 알고리즘
ch09-card-대칭키스트림암호2가지	8	OK	12.0	2.9	**대칭키 스트림 암호 2가지**	(9) 암호화 알고리즘
ch09-card-비대칭키암호5가지	8	OK	16.7	1.2	**비대칭키 암호 5가지**	(9) 암호화 알고리즘
ch09-card-해시알고리즘5가지	8	OK	19.3	4.4	**해시 알고리즘 5가지**	(9) 암호화 알고리즘
ch09-card-암호방식별필요키개수	8	OK	7.5	1.4	**암호 방식별 필요 키 개수**	(9) 암호화 알고리즘
ch09-card-DoS공격5가지	9	OK	23.5	1.7	**DoS 공격 5가지**	(10) 서비스 공격 유형
ch09-card-DDoS공격도구3가지	9	OK	10.9	3.2	**DDoS 공격 도구 3가지**	(10) 서비스 공격 유형
ch09-card-웜vs트로이목마	9	OK	7.0	0.4	**웜 vs 트로이 목마**	(10) 서비스 공격 유형
ch09-card-제로데이공격	9	OK	8.0	4.5	**제로 데이 공격**	(10) 서비스 공격 유형
ch09-card-스니핑vs스푸핑	9	OK	7.4	3.0	**스니핑 vs 스푸핑**	(10) 서비스 공격 유형
ch09-card-인증유형5가지	10	SEEN	9.3	6.9	**인증 유형 5가지**	(11) 서버 인증
ch09-card-커버로스	10	OK	7.2	3.2	**커버로스**	(11) 서버 인증
